ID_Date,StateCode,StationId,Date,PM2.5,PM10,O3,CO,SO2,AQI
AS_4_2021-08-17,AS,4,2021-08-17,51.8364,120.3702,18.0234,0.4896,14.3106,94.0
AS_4_2021-08-18,AS,4,2021-08-18,59.4762,87.0978,34.527,0.4794,14.7594,124.0
AS_4_2021-08-19,AS,4,2021-08-19,61.0776,79.6008,42.0546,0.5202,16.7484,82.0
AS_4_2021-08-20,AS,4,2021-08-20,56.7222,94.2072,45.7878,0.4998,27.6114,107.0
AS_4_2021-08-21,AS,4,2021-08-21,85.3332,136.782,44.5638,1.1118,26.418,107.0
AS_4_2021-08-22,AS,4,2021-08-22,144.636,248.7882,32.844,1.5504,24.4698,299.0
AS_4_2021-08-23,AS,4,2021-08-23,135.9252,224.349,36.9342,1.1526,26.1324,327.0
AS_4_2021-08-24,AS,4,2021-08-24,71.298,117.1878,22.0116,0.5508,19.3392,210.0
AS_4_2021-08-25,AS,4,2021-08-25,132.4776,239.5164,20.553,1.836,19.4004,210.0
AS_4_2021-08-26,AS,4,2021-08-26,96.1758,176.5008,17.3196,1.1322,17.0442,291.0
AS_4_2021-08-27,AS,4,2021-08-27,62.1078,100.827,31.4262,0.6528,17.952,155.0
AS_4_2021-08-28,AS,4,2021-08-28,63.24,77.571,19.4718,0.6834,16.0344,95.0
AS_4_2021-09-01,AS,4,2021-09-01,70.3902,106.845,18.7578,0.867,16.4322,115.0
AS_4_2021-09-02,AS,4,2021-09-02,91.341,155.4072,36.9138,1.0812,22.8072,187.0
AS_4_2021-09-03,AS,4,2021-09-03,109.0278,203.7348,30.2634,1.2852,22.2156,231.0
AS_4_2021-09-04,AS,4,2021-09-04,99.552,189.3936,30.651,0.9384,17.2482,283.0
AS_4_2021-09-05,AS,4,2021-09-05,69.5742,122.3286,48.756,0.6324,20.655,129.0
AS_4_2021-09-06,AS,4,2021-09-06,64.5558,92.7384,44.7372,0.5508,20.0532,151.0
AS_4_2021-09-07,AS,4,2021-09-07,76.3062,115.005,25.5306,0.867,16.83,104.0
AS_4_2021-09-08,AS,4,2021-09-08,106.2228,181.3152,24.6942,1.2138,19.686,241.0
AS_4_2021-09-09,AS,4,2021-09-09,119.085,210.4158,19.3086,1.2138,19.2474,270.0
AS_4_2021-09-10,AS,4,2021-09-10,127.398,241.842,47.2872,1.1118,25.1022,309.0
AS_4_2021-09-11,AS,4,2021-09-11,127.4388,218.1168,38.5866,1.3362,24.2556,272.0
AS_4_2021-09-12,AS,4,2021-09-12,125.8068,211.0074,49.9596,1.0098,24.429,322.0
AS_4_2021-09-13,AS,4,2021-09-13,102.4182,191.5866,48.3072,1.0506,21.6954,216.0
AS_4_2021-09-14,AS,4,2021-09-14,141.219,263.8026,42.0342,1.3158,23.664,309.0
AS_4_2021-09-15,AS,4,2021-09-15,140.7906,286.008,31.8546,1.2546,20.8284,327.0
AS_4_2021-09-16,AS,4,2021-09-16,134.3238,329.0112,17.442,1.0506,17.85,318.0
AS_4_2021-09-17,AS,4,2021-09-17,107.4366,195.4116,34.9044,1.1424,21.9912,236.0
AS_4_2021-09-18,AS,4,2021-09-18,156.2844,274.9308,28.8558,1.6422,28.1826,314.0
AS_4_2021-09-19,AS,4,2021-09-19,93.4116,148.1448,47.6646,0.918,22.2258,309.0
AS_4_2021-09-20,AS,4,2021-09-20,67.83,102.204,43.4418,0.8364,21.1344,120.0
AS_4_2021-09-21,AS,4,2021-09-21,74.7966,204.7854,60.6288,0.6018,22.9602,151.0
AS_4_2021-09-22,AS,4,2021-09-22,54.2334,249.0636,66.5856,0.408,24.7452,202.0
